QueryId,Iteration,DocId,Relevance
Q1,1,C00669,1
Q1,1,C00087,1
Q1,1,C00197,1
Q1,1,C00435,1
Q1,1,C00971,1
Q1,1,C00237,1
Q1,1,C00139,1
Q1,1,C00484,1
Q1,1,C00005,1
Q1,1,C00787,1
Q2,1,C00414,1
Q2,1,C00451,1
Q2,1,C00022,1
Q2,1,C00122,1
Q2,1,C00971,1
Q2,1,S00809,1
Q2,1,C00523,1
Q2,1,C00014,1
Q2,1,C00078,1
Q2,1,C00660,1
Q3,1,C00223,1
Q3,1,C00406,1
Q3,1,C00114,1
Q3,1,C00651,1
Q3,1,C00011,1
Q3,1,C00784,1
Q3,1,C00237,1
Q3,1,C00046,1
Q3,1,C00553,1
Q3,1,C00034,1
Q4,1,C00541,1
Q4,1,C00138,1
Q4,1,C00901,1
Q4,1,C00609,1
Q4,1,C00051,1
Q4,1,C00777,1
Q4,1,S00021,1
Q4,1,C00048,1
Q4,1,C00087,1
Q4,1,C00742,1
Q5,1,C00141,1
Q5,1,C00541,1
Q5,1,C00777,1
Q5,1,C00051,1
Q5,1,C00519,1
Q5,1,S00021,1
Q5,1,C00048,1
Q5,1,C00447,1
Q5,1,C00008,1
Q5,1,C00016,1
Q6,1,C00544,1
Q6,1,M00042,1
Q6,1,C00477,1
Q6,1,C00032,1
Q6,1,C00965,1
Q6,1,M00109,1
Q6,1,C00311,1
Q6,1,C00039,1
Q6,1,C00795,1
Q6,1,M00031,1
Q7,1,C00541,1
Q7,1,C00051,1
Q7,1,C00048,1
Q7,1,S00021,1
Q7,1,C00777,1
Q7,1,C00551,1
Q7,1,C00901,1
Q7,1,C00519,1
Q7,1,C00016,1
Q7,1,S00375,1
Q8,1,C00050,1
Q8,1,C00713,1
Q8,1,S00186,1
Q8,1,C00499,1
Q8,1,C00228,1
Q8,1,C00436,1
Q8,1,C00679,1
Q8,1,C00018,1
Q8,1,C00959,1
Q8,1,C00862,1
Q9,1,D00797,1
Q9,1,D00212,1
Q9,1,D00868,1
Q9,1,S00501,1
Q9,1,D00514,1
Q9,1,D00757,1
Q9,1,D00663,1
Q9,1,D00195,1
Q9,1,D00659,1
Q9,1,D00575,1
Q10,1,S00750,1
Q10,1,C00586,1
Q10,1,D00634,1
Q10,1,D00242,1
Q10,1,D00008,1
Q10,1,D00045,1
Q10,1,D00676,1
Q10,1,S00178,1
Q10,1,D00879,1
Q10,1,C00193,1
Q11,1,C00133,1
Q11,1,C00053,1
Q11,1,C00050,1
Q11,1,C00242,1
Q11,1,C00932,1
Q11,1,C00018,1
Q11,1,C00818,1
Q11,1,S00186,1
Q11,1,C00713,1
Q11,1,C00525,1
Q12,1,D00193,1
Q12,1,C00054,1
Q12,1,C00299,1
Q12,1,C00408,1
Q12,1,C00924,1
Q12,1,S00700,1
Q12,1,R00134,1
Q12,1,S00757,1
Q12,1,C00749,1
Q12,1,C00357,1
Q13,1,C00046,1
Q13,1,C00530,1
Q13,1,C00814,1
Q13,1,C00970,1
Q13,1,C00272,1
Q13,1,C00595,1
Q13,1,C00323,1
Q13,1,C00362,1
Q13,1,C00290,1
Q13,1,C00268,1
Q14,1,C00021,1
Q14,1,C00015,1
Q14,1,S00407,1
Q14,1,C00743,1
Q14,1,S00003,1
Q14,1,C00296,1
Q14,1,C00678,1
Q14,1,C00551,1
Q14,1,C00411,1
Q14,1,C00086,1
Q15,1,L00459,1
Q15,1,M00231,1
Q15,1,P_194,1
Q15,1,P06048,1
Q15,1,L00113,1
Q15,1,S00394,1
Q15,1,M00211,1
Q15,1,S00684,1
Q15,1,D00687,1
Q15,1,C00297,1
Q16,1,C00778,1
Q16,1,C00448,1
Q16,1,C00035,1
Q16,1,C00705,1
Q16,1,C00155,1
Q16,1,C00886,1
Q16,1,C00135,1
Q16,1,C00031,1
Q16,1,C00168,1
Q16,1,C00899,1
Q17,1,C00091,1
Q17,1,C00943,1
Q17,1,C00376,1
Q17,1,C00006,1
Q17,1,C00197,1
Q17,1,C00832,1
Q17,1,C00494,1
Q17,1,D00446,1
Q17,1,D00754,1
Q17,1,C00948,1
Q18,1,C00539,1
Q18,1,C00271,1
Q18,1,C00591,1
Q18,1,C00073,1
Q18,1,C00252,1
Q18,1,C00855,1
Q18,1,C00303,1
Q18,1,C00887,1
Q18,1,C00317,1
Q18,1,C00992,1
Q19,1,C00669,1
Q19,1,C00236,1
Q19,1,C00682,1
Q19,1,C00409,1
Q19,1,C00543,1
Q19,1,C00581,1
Q19,1,C00206,1
Q19,1,C00019,1
Q19,1,C00076,1
Q19,1,C00005,1
Q20,1,C00296,1
Q20,1,T00672,1
Q20,1,S00071,1
Q20,1,S00921,1
Q20,1,C00015,1
Q20,1,S00766,1
Q20,1,S00884,1
Q20,1,C00596,1
Q20,1,T00659,1
Q20,1,T00652,1
